timestamp;uuid;message
2022-01-11 13:23:00;9c6c9ea3-9bac-46b5-ba60-2565421e6f60;The staff was very friendly.
2022-03-10 12:09:00;4bc4c71c-b393-4627-a4df-7e53db7f5a31;Good value for money.
2022-02-27 23:27:00;6de76372-d39b-425d-b97d-d635e5872b94;Too much bread, not enough filling.
2022-02-02 11:48:00;c9b6e0a1-18b4-4025-b3f6-9aec05d37282;Freshly made and delicious.
2022-02-04 20:18:00;f915afdd-264f-4df8-a529-574b0f8de460;Could use more seasoning.
2022-01-06 22:27:00;0b3e2975-f4bf-426d-bfdf-0cd8f397c774;This place never disappoints.
2022-02-23 03:46:00;ab266010-6918-4842-8837-89635607c96a;Crispy, cheesy goodness.
2022-03-11 06:01:00;a36dfcbb-4439-406b-a938-922d6ab37c16;I'd recommend it to friends.
2022-01-12 13:18:00;1d1eb229-89d2-4827-a0fa-76c992b3e30e;Overpriced for the quality offered.
2022-01-05 22:55:00;fff8d986-fcd5-412b-91b6-ce5e96b1decd;Too much bread, not enough filling.
2022-02-13 15:15:00;2e0cf456-a8c6-46fc-ab7b-203fbfee72b5;Family-friendly atmosphere with great food.
2022-02-17 03:23:00;2429c853-a68a-45ac-b671-84995f586d1e;Not impressed, bread was stale.
2022-01-23 22:10:00;a5f5b9f8-9dda-45b6-aaa8-2cee21fb8034;I visited Super Sandwiches last weekend and was absolutely blown away by the variety of sandwiches they had to offer. The bread was freshly baked, crispy on the outside, and soft on the inside. I ordered the chicken pesto sandwich, and it was a delight from the first bite to the last. The pesto sauce was rich and flavorful, complementing the perfectly grilled chicken. I could tell that a lot of thought went into balancing the flavors. I paired it with their fresh lemonade, which was a perfect combination for a sunny day. Highly recommend this place for anyone who loves gourmet sandwiches.
2022-01-28 04:35:00;00af3577-ca15-4a7f-a674-22199799d724;I decided to give Super Sandwiches a try after hearing so much hype, but I was slightly disappointed. While the sandwich was decent, the service left much to be desired. I ordered a turkey and cheese sandwich with avocado and had to wait almost 30 minutes despite the shop not being busy. When I finally got my order, the sandwich was lukewarm, and the avocado seemed overripe. The flavors didn't blend as well as I had hoped, and I found myself wishing I had gone elsewhere. I hope this was just a one-off bad experience, but for now, I can't say I’ll rush back.
2022-01-08 14:08:00;37858c3f-c986-4fd6-82f3-9b8da60225ae;This was one of the best dining experiences I've had in a long time. The attention to detail at Super Sandwiches is evident from the moment you walk in. The decor is simple yet inviting, and the aroma of freshly made sandwiches fills the air. I went with a group of friends, and we ordered a variety of items to share. Each sandwich was crafted beautifully, with premium-quality ingredients that stood out in every bite. The standout for me was the beef brisket sandwich—it was tender, juicy, and packed with flavor. The side salad was also fresh and crisp. Kudos to the team for delivering an exceptional experience.
2022-01-15 11:39:00;265e17ce-0e70-4d5f-8b1d-6339f72e4893;Super Sandwiches has become my go-to spot for lunch breaks during work. Their sandwich combos are not only filling but also incredibly tasty. My personal favorite is the veggie delight sandwich, packed with grilled vegetables, feta cheese, and a hint of balsamic glaze that ties everything together beautifully. What I appreciate the most is their commitment to using fresh and locally sourced ingredients. The staff is always friendly, and the service is quick, making it ideal for a quick bite during the workday. I’ve introduced several colleagues to this place, and they’ve all become fans too. Keep up the great work!
2024-02-19 19:03:00;85b9b0bf-0f36-43d7-a032-27f91e16f0d5;The limited-edition spicy chicken sandwich was a culinary masterpiece. The chicken was marinated perfectly, grilled to perfection, and paired with a tangy, spicy sauce that added just the right amount of heat. The sandwich was complemented by a crisp slaw that balanced out the flavors. Super Sandwiches truly outdid themselves with this offering. I can't wait to see what other seasonal specials they come up with in 2024.
2024-02-24 06:20:00;f834d107-08b7-4347-9a1f-4082cc1fda55;Had a family gathering at Super Sandwiches, and it was a fantastic experience. We tried a wide variety of sandwiches, from classic turkey to vegetarian options. Everyone had their favorite, but the clear winner was the triple-decker club with crispy bacon and house-made aioli. The atmosphere was warm and welcoming, and the staff made sure we had everything we needed. This place continues to be a family favorite.
2024-02-27 01:18:00;959fee66-dbde-40c6-82de-2a504fb6de8a;Visited the newly renovated Super Sandwiches location and was thoroughly impressed. Not only did the ambiance get an upgrade, but the menu now features even more creative options. I ordered the Mediterranean wrap, which was packed with grilled veggies, feta cheese, and a delightful tzatziki sauce. It was fresh, flavorful, and satisfying. The service was fast despite the lunchtime rush, making this an excellent spot for a quick yet gourmet meal.
2024-01-12 02:51:00;e1086468-a167-4b46-a5e5-f99adc65a849;Super Sandwiches continues to impress with their thoughtful approach to sandwiches. The new grain-free bread option is a game-changer for those looking to cut carbs without sacrificing taste. I tried the turkey avocado melt on this bread, and it was nothing short of spectacular. The flavors melded together beautifully, and the bread had a satisfying texture. Highly recommend this innovation!
2024-02-17 18:14:00;3638d420-b20b-4b60-b330-cba0ec9d2ea8;Stopped by on a rainy afternoon and was delighted by the comforting warmth of the Italian sub sandwich. The blend of meats, cheeses, and a drizzle of house dressing made each bite memorable. Paired it with a hot cup of coffee, and it turned a gloomy day into a delightful experience. The staff was courteous and attentive, which added to the positive experience.
2024-03-04 11:37:00;e2b91c07-3d04-482f-910d-347218c4d563;The limited-edition spicy chicken sandwich was a culinary masterpiece. The chicken was marinated perfectly, grilled to perfection, and paired with a tangy, spicy sauce that added just the right amount of heat. The sandwich was complemented by a crisp slaw that balanced out the flavors. Super Sandwiches truly outdid themselves with this offering. I can't wait to see what other seasonal specials they come up with in 2024.
2024-03-08 23:28:00;313f6545-a330-4c3e-8de4-5615366e2698;Had a family gathering at Super Sandwiches, and it was a fantastic experience. We tried a wide variety of sandwiches, from classic turkey to vegetarian options. Everyone had their favorite, but the clear winner was the triple-decker club with crispy bacon and house-made aioli. The atmosphere was warm and welcoming, and the staff made sure we had everything we needed. This place continues to be a family favorite.
2024-02-25 22:41:00;2599f698-cdf5-476a-b817-3b5fb332f1f8;Visited the newly renovated Super Sandwiches location and was thoroughly impressed. Not only did the ambiance get an upgrade, but the menu now features even more creative options. I ordered the Mediterranean wrap, which was packed with grilled veggies, feta cheese, and a delightful tzatziki sauce. It was fresh, flavorful, and satisfying. The service was fast despite the lunchtime rush, making this an excellent spot for a quick yet gourmet meal.
2024-03-03 05:40:00;846f8149-ab02-4d34-a477-e53951552a03;Super Sandwiches continues to impress with their thoughtful approach to sandwiches. The new grain-free bread option is a game-changer for those looking to cut carbs without sacrificing taste. I tried the turkey avocado melt on this bread, and it was nothing short of spectacular. The flavors melded together beautifully, and the bread had a satisfying texture. Highly recommend this innovation!
2024-02-28 07:18:00;9468305f-9f34-4ba8-b57e-bd5334d18ffb;Stopped by on a rainy afternoon and was delighted by the comforting warmth of the Italian sub sandwich. The blend of meats, cheeses, and a drizzle of house dressing made each bite memorable. Paired it with a hot cup of coffee, and it turned a gloomy day into a delightful experience. The staff was courteous and attentive, which added to the positive experience.
